Taxon,ITS,matK,ndhF,pgiC,trnL,rps16,rbcL,rpl16
Adenaria_floribunda,,,,,AY905451.1,,AY905403.1,
Ammannia_baccifera,,,,,AY905452.1,,AY036145.1,
Ammannia_coccinea,,,,,,,DQ006103.1,
Ammannia_latifolia,,,,,AY905453.1,,AY905404.1,
Ammannia_prieuriana,,,,,,,HQ878354.1,
Ammannia_robusta,,,,,,,KF724282.1,
Camissonia_benitensis,JX885869.1,,,,,,,
Camissonia_campestris,AY271550.1,,,,AY264538.1,AY267413.1,,
Camissonia_contorta,JX885876.1,,,,,,,
Camissonia_kernensis,AY271549.1,,,,AY264537.1,AY267412.1,,
Camissonia_strigulosa,JX885874.1,,,,,,,
Camissoniopsis_cheiranthifolia,AY271548.1,,,,AY264536.1,AY267411.1,,
Capuronia_madagascariensis,,,,,AY905454.1,,AY905405.1,
Chamerion_angustifolium,JF976293.1,JF953688.1,AF495784.1,GU176493.1,AY264505.1,AY267389.1,JF941473.1,
Chamerion_conspersum,JF976298.1,,,,,,JF941479.1,
Chamerion_dodonaei,KJ746532.1,,,,,,,
Chamerion_latifolium,JN999111.1,JN966235.1,,,DQ860545.1,,JN965440.1,
Chylismia_arenaria,AY271543.1,,AF495795.1,GU176497.1,AY264531.1,AY267406.1,AF495772.1,
Chylismia_claviformis,AY271541.1,,,,AY264529.1,AY267404.1,,
Chylismiella_pterosperma,AY271554.1,,,,AY264542.1,AY267417.1,,
Circaea_alpina,AY271521.1,,AF495780.1,,AY264498.1,,JN892266.1,AY357851.1
Circaea_canadensis,GQ232508.1,,,,GQ232694.1,,KJ841239.1,GQ232632.1
Circaea_cordata,GQ232514.1,,,AJ550737.1,GQ232700.1,,,GQ232638.1
Circaea_erubescens,GQ232517.1,,,,GQ232703.1,,,GQ232641.1
Circaea_glabrescens,GQ232521.1,,,,GQ232707.1,,,GQ232645.1
Circaea_lutetiana,AY357770.1,,AM235433.1,,AY357811.1,,AM235666.1,AM235469.1
Circaea_mollis,GQ232528.1,,,,GQ232714.1,,,GQ232652.1
Circaea_repens,GQ232533.1,,,,GQ232719.1,,,GQ232657.1
Clarkia_affinis,AY271536.1,,,,AY264524.1,AY267399.1,,
Clarkia_amoena,,,,Y17130.1,,,,
Clarkia_arcuata,,,,AJ419551.1,,,,
Clarkia_biloba,,,,AJ437272.1,,,,
Clarkia_bottae,L28016.1,,,,,,,
Clarkia_concinna,AY271532.1,,,,AY264519.1,,,
Clarkia_delicata,AY271537.1,,,AJ302023.1,AY264525.1,AY267400.1,,
Clarkia_dudleyana,,,,AJ437276.1,,,,
Clarkia_epilobioides,EF017397.1,,,AJ302021.1,,,,
Clarkia_franciscana,AY271530.1,,,,AY264517.1,AY267394.1,,
Clarkia_gracilis,,,,Y14129.1,,,,
Clarkia_heterandra,AY271538.1,,,AJ437274.1,AY264526.1,AY267401.1,,
Clarkia_imbricata,AY271533.1,,,,AY264520.1,AY267396.1,,
Clarkia_lassenensis,,,,Y16724.1,,,,
Clarkia_lewisii,,,,,AY264521.1,,,
Clarkia_lingulata,,,,AJ437270.1,,,,
Clarkia_mildrediae,AY271529.1,,,,AY264516.1,AY267393.1,,
Clarkia_modesta,EF017403.1,,,AJ312367.1,,,,
Clarkia_pulchella,AY271531.1,,,,AY264518.1,AY267395.1,,
Clarkia_rostrata,AY271535.1,,,,AY264523.1,AY267398.1,,
Clarkia_similis,,,,AJ307690.1,,,,
Clarkia_unguiculata,EF017399.1,,,AJ312369.1,,,JN114796.1,
Clarkia_xantiana,AY271534.1,,AF495787.1,AJ419536.1,AY264522.1,AY267397.1,L01896.1,
Cuphea_appendiculata,,JQ588160.1,,,,,JQ592416.1,HM099594.1
Cuphea_carthagenensis,,JQ588161.1,,,,,JQ592417.1,
Cuphea_hyssopifolia,,,AM235439.1,,,,AM235672.1,AM235475.1
Cuphea_viscosissima,,HM850984.1,,,,,HM849928.1,HM099634.1
Decodon_verticillatus,,,,,AY905457.1,,AY036140.1,
Duabanga_grandiflora,,GQ434087.1,AM235440.1,,AF354179.1,,AM235673.1,AM235476.1
Duabanga_moluccana,,,AY498835.1,,AY905459.1,,AY496862.1,
Epilobium_alsinifolium,,,,,GQ244910.1,,,
Epilobium_alsinoides,EF416573.1,,,,EF416695.1,,,
Epilobium_anagallidifolium,,,,,GQ244912.1,,,
Epilobium_angustum,EF416582.1,,,,EF416704.1,,,
Epilobium_arcticum,,KC474705.1,,,GQ244913.1,,KC482699.1,
Epilobium_billardierianum,EF416583.1,,,,EF416705.1,,,
Epilobium_brachycarpum,,,,AJ550751.1,AY264509.1,,,
Epilobium_brevipes,EF416586.1,,,,EF416708.1,,,
Epilobium_brunnescens,EF416589.1,,,,EF416711.1,,,
Epilobium_canum,L28012.1,,,AJ550749.1,AY264514.1,AY267391.1,,
Epilobium_chionanthum,EF416600.1,,,,EF416719.1,,,
Epilobium_chlorifolium,EF416602.1,,,,EF416721.1,,,
Epilobium_ciliatum,EF416607.1,KM212071.1,,,AY264508.1,,HE574585.1,
Epilobium_cleistogamum,L28017.1,,,,,,,
Epilobium_coloratum,,,,,,,HQ590077.1,
Epilobium_crassum,EF416610.1,,,,EF416727.1,,,
Epilobium_cylindricum,JF976300.1,JF953694.1,,,,,JF941481.1,
Epilobium_davuricum,,,,,GQ244914.1,,,
Epilobium_densiflorum,L28019.1,,,,AY264513.1,,,
Epilobium_foliosum,L28021.1,,,,,,,
Epilobium_glabellum,EF416612.1,,,,EF416729.1,,,
Epilobium_gracilipes,EF416615.1,,,,EF416734.1,,,
Epilobium_gunnianum,EF416618.1,,,,EF416736.1,,,
Epilobium_hirsutum,,HQ593280.1,,,,,FJ395568.1,
Epilobium_hirtigerum,EF416619.1,,,,EF416737.1,,,
Epilobium_hornemannii,,,,,GQ244915.1,,KJ841298.1,
Epilobium_insulare,EF416623.1,,,,EF416742.1,,,
Epilobium_komarovianum,EF416625.1,,,,EF416744.1,,,
Epilobium_lactiflorum,,,,,GQ244917.1,,,
